coin,exchanges,kraken,kucoin,bitmex,bittrex,gemini
BTC,kraken,0.0,0.0012620090115165075,0.001844890713191685,0.0018246124864299276,0.002506171161338123
BTC,kucoin,0.0012487784098360942,0.0,0.001261822721630316,0.0021747258624479843,0.0028323627039854365
BTC,bitmex,0.0018168890444764825,0.0012501970404790504,0.0,0.002554394879544278,0.003169854568713913
BTC,bittrex,0.0018542250032534595,0.002223732846977748,0.0026256863320927603,0.0,0.001477430824755397
BTC,gemini,0.0026026695555085226,0.002959988543763896,0.003324604589872776,0.0015220245654192742,0.0
ETH,kraken,0.0,0.3326500281032855,0.47834718213730054,0.4745179622228494,0.5412475829214045
ETH,kucoin,0.32931501042692723,0.0,0.3317221928544324,0.565805290077763,0.6287212498114967
ETH,bitmex,0.47019143251615936,0.3288852445724406,0.0,0.664602859367541,0.726282276708263
ETH,bittrex,0.4827233325565098,0.5773799907853038,0.6798785594020419,0.0,0.23953668897759725
ETH,gemini,0.5535308954280107,0.6454472957964453,0.7461172367857215,0.24238662726537102,0.0
SOL,kraken,0.0,798.5974585323785,1169.5142156300412,1266.4296891440024,1351.4748521370834
SOL,kucoin,784.3207559023012,0.0,798.4465864008293,1519.3257392053185,1583.6323893088113
SOL,bitmex,1140.0524807112215,786.1527723133587,0.0,1764.3732090359842,1804.4136975154154
SOL,bittrex,1284.1055453643526,1547.6837558304128,1811.5249426924822,0.0,711.6956864360958
SOL,gemini,1386.5442286122898,1636.6680042325268,1876.5792374965731,722.2900146656135,0.0
DOT,kraken,0.0,15028.704080778265,21958.309148463646,22214.914493793174,23975.262171714076
DOT,kucoin,14758.680256412174,0.0,15438.52156052666,26670.517338470105,28871.801414579422
DOT,bitmex,21552.357691029894,15315.574072655603,0.0,31630.282808708147,33036.20464438801
DOT,bittrex,22694.185682925858,27487.57355730388,32621.79568459409,0.0,11087.871130390355
DOT,gemini,24642.97283793467,29952.366525541056,34215.92619391631,11208.99488813718,0.0
